page,score
Zeus,3.756754676922886
Gaia,1.4594586558112537
Nyx,0.9999994755971114
Erebus,0.9999994755971114
Atlas,0.9999994755971114
Pleione,0.9999994755971114
Heracles,0.9999994755971114
Hebe,0.9999994755971114
Aphrodite,0.9999994755971114
Hermes,0.9999994755971114
Tartarus,0.7702698854900407
Uranus,0.7702698854900407
Hera,0.6061773488344845
Demeter,0.6061773488344845
Alcmene,0.6061773488344845
Semele,0.6061773488344845
Leto,0.6061773488344845
Dione,0.6061773488344845
Io,0.6061773488344845
Chaos,0.15000000000000002
Eros,0.15000000000000002
Typhon,0.15000000000000002
Pontus,0.15000000000000002
Aether,0.15000000000000002
Hemera,0.15000000000000002
Momus,0.15000000000000002
Ponos,0.15000000000000002
Moros,0.15000000000000002
Thanatos,0.15000000000000002
Hypnos,0.15000000000000002
Hesperides,0.15000000000000002
Keres and Fates,0.15000000000000002
Nemesis,0.15000000000000002
Apate,0.15000000000000002
Philotes,0.15000000000000002
Geras,0.15000000000000002
Eris,0.15000000000000002
Hyperion,0.15000000000000002
Hestia,0.15000000000000002
Hades,0.15000000000000002
Poseidon,0.15000000000000002
Electryon,0.15000000000000002
Licymnius,0.15000000000000002
Epimetheus,0.15000000000000002
Dionysus,0.15000000000000002
Ares,0.15000000000000002
Hephaestus,0.15000000000000002
Persephone,0.15000000000000002
Athena,0.15000000000000002
Epaphus,0.15000000000000002
Apollo,0.15000000000000002
Artemis,0.15000000000000002
Tyche,0.15000000000000002
Rhodos,0.15000000000000002
Peitho,0.15000000000000002
Eunomia,0.15000000000000002
Hermaphroditus,0.15000000000000002
Abderus,0.15000000000000002
Pan,0.15000000000000002